	0	1	2	3	4	5	accuracy	macro avg	weighted avg
precision	0.8954869358669834	0.7678571428571429	0.7410714285714286	0.6415525114155252	0.8352941176470589	0.6666666666666666	0.7625	0.7579881338374675	0.7579881338374675
recall	0.9425	0.7525	0.83	0.7025	0.8875	0.46	0.7625	0.7625000000000001	0.7625
f1-score	0.9183922046285018	0.76010101010101	0.7830188679245284	0.6706443914081147	0.8606060606060607	0.544378698224852	0.7625	0.756190205482178	0.756190205482178
support	400.0	400.0	400.0	400.0	400.0	400.0	0.7625	2400.0	2400.0
MCC	0.7165132918249503
