	0	1	2	accuracy	macro avg	weighted avg
precision	0.8860759493670886	0.7602591792656588	0.6842105263157895	0.814	0.7768485516495122	0.8172216362597721
recall	0.875	0.704	0.845	0.814	0.8079999999999999	0.814
f1-score	0.8805031446540881	0.7310488058151609	0.756152125279642	0.814	0.789234691916297	0.8141048957911862
support	800.0	500.0	200.0	0.814	1500.0	1500.0
MCC	0.6880003257466477
