	0	1	2	accuracy	macro avg	weighted avg
precision	0.874310239117106	0.7300492610837438	0.751412429378531	0.811	0.7852573098597936	0.8098368718075086
recall	0.89125	0.741	0.665	0.811	0.76575	0.811
f1-score	0.8826988548437017	0.7354838709677418	0.7055702917771882	0.811	0.7745843391962106	0.8100100518095132
support	1600.0	1000.0	400.0	0.811	3000.0	3000.0
MCC	0.6752383683301565
