	0	1	2	accuracy	macro avg	weighted avg
precision	0.8835192069392813	0.7710718002081165	0.7929411764705883	0.8346666666666667	0.8158440612059953	0.8339596672997339
recall	0.89125	0.741	0.8425	0.8346666666666667	0.8249166666666667	0.8346666666666667
f1-score	0.8873677660236465	0.755736868944416	0.816969696969697	0.8346666666666667	0.8200247773125865	0.8341043911233764
support	1600.0	1000.0	400.0	0.8346666666666667	3000.0	3000.0
MCC	0.7186932231776172
