	0	1	2	accuracy	macro avg	weighted avg
precision	0.8974687600128164	0.7392550143266475	0.780891719745223	0.827	0.8058718313615624	0.829187239415081
recall	0.8753125	0.774	0.76625	0.827	0.8051875000000001	0.827
f1-score	0.8862521752887202	0.756228627259404	0.7735015772870664	0.827	0.8053274599450635	0.8278775795453944
support	3200.0	2000.0	800.0	0.827	6000.0	6000.0
MCC	0.7064408159388678
