	0	1	2	accuracy	macro avg	weighted avg
precision	0.8934609250398724	0.7492739593417231	0.7847309136420526	0.8293333333333334	0.8091552660078826	0.8309012682874468
recall	0.8753125	0.774	0.78375	0.8293333333333334	0.8110208333333334	0.8293333333333334
f1-score	0.8842936069455406	0.7614363010329562	0.7842401500938087	0.8293333333333334	0.8099900193574352	0.8300007107277816
support	3200.0	2000.0	800.0	0.8293333333333334	6000.0	6000.0
MCC	0.7102928731540965
